BidID|CustomerID|BidDate|ProjectType|BidAmount|Status|RelatedProjectID|DeclineReason|CompetitorPrice|SalesPersonID
1|782|2024-01-31|Custom Wine Cellar Monitoring|374008.14|Won|691|N/A|Unknown|57
2|506|2021-03-13|Automated Shading Solutions|117860.23|Won|280|N/A|Unknown|162
3|298|2024-11-11|Custom Wine Cellar Monitoring|350876.91|Won|439|N/A|Unknown|79
4|797|2025-01-23|Voice Control Integration|87515.99|Won|79|N/A|Unknown|140
5|758|2024-05-11|Whole-Home Automation|38194.86|Won|551|N/A|Unknown|33
6|319|2023-08-08|Multi-Room Audio Video|19603.01|Won|1044|N/A|Unknown|191
7|279|2024-06-02|Smart Home Integration|243838.79|Won|258|N/A|Unknown|123
8|49|2021-09-25|Automated Shading Solutions|131405.35|Won|667|N/A|Unknown|79
9|425|2022-12-14|Voice Control Integration|178423.46|Won|791|N/A|Unknown|133
10|302|2024-09-22|Custom Wine Cellar Monitoring|26998.72|Won|865|N/A|Unknown|28
11|641|2022-05-23|Automated Lighting Control|213048.75|Won|819|N/A|Unknown|121
12|14|2022-03-19|Custom Security System|235637.55|Won|192|N/A|Unknown|158
13|696|2024-12-11|Biometric Security System|310504.97|Won|796|N/A|Unknown|54
14|100|2024-07-17|Biometric Security System|359711.2|Won|864|N/A|Unknown|189
15|224|2024-06-28|Whole Home Battery Backup|253930.69|Won|762|N/A|Unknown|188
16|550|2023-11-10|Automated Lighting Control|75397.86|Won|433|N/A|Unknown|150
17|129|2023-06-10|Automated Lighting Control|284262.84|Won|210|N/A|Unknown|3
18|181|2021-06-27|Smart Home Integration|166579.33|Won|408|N/A|Unknown|110
19|324|2023-07-08|Home Network Infrastructure|323324.43|Won|500|N/A|Unknown|79
20|647|2024-10-05|Custom Wine Cellar Monitoring|379640.39|Won|440|N/A|Unknown|64
21|734|2021-11-28|Golf Simulator Room|102563.76|Won|774|N/A|Unknown|140
22|672|2022-01-15|Custom Wine Cellar Monitoring|276509.64|Won|434|N/A|Unknown|130
23|15|2022-01-30|Outdoor Entertainment System|46775.13|Won|1040|N/A|Unknown|188
24|451|2023-05-22|Home Network Infrastructure|202447.7|Won|811|N/A|Unknown|9
25|147|2024-04-29|Golf Simulator Room|290933.61|Won|476|N/A|Unknown|28
26|66|2023-07-24|Golf Simulator Room|378215.87|Won|695|N/A|Unknown|193
27|521|2023-03-15|Integrated Climate Control|73343.88|Won|466|N/A|Unknown|79
28|35|2021-03-05|Multi-Room Audio Video|256989.83|Won|178|N/A|Unknown|56
29|267|2024-04-09|Outdoor Entertainment System|240310.52|Won|1073|N/A|Unknown|56
30|466|2023-09-23|Custom Security System|143117.63|Won|1049|N/A|Unknown|63
31|739|2024-01-26|Custom Security System|89505.6|Won|56|N/A|Unknown|149
32|303|2023-12-11|Smart Water Management|243379.77|Won|554|N/A|Unknown|9
33|345|2025-01-23|Golf Simulator Room|251591.96|Won|324|N/A|Unknown|9
34|96|2023-09-10|Custom Wine Cellar Monitoring|49471.63|Won|162|N/A|Unknown|141
35|477|2022-09-23|Automated Lighting Control|381677.06|Won|716|N/A|Unknown|196
36|403|2023-04-21|Smart Home Integration|177602.02|Won|169|N/A|Unknown|108
37|103|2024-08-06|Automated Shading Solutions|82852.39|Won|244|N/A|Unknown|149
38|580|2024-08-18|Multi-Room Audio Video|95976.28|Won|612|N/A|Unknown|12
39|164|2024-07-26|Whole Home Battery Backup|304483.2|Won|311|N/A|Unknown|28
40|362|2024-08-24|Multi-Room Audio Video|206629.23|Won|984|N/A|Unknown|124
41|67|2020-12-14|Voice Control Integration|197187.38|Won|1149|N/A|Unknown|21
42|213|2022-02-06|Outdoor Entertainment System|290744.99|Won|1189|N/A|Unknown|61
43|590|2024-02-15|Integrated Climate Control|100092.28|Won|625|N/A|Unknown|61
44|799|2024-04-12|Whole Home Battery Backup|347797.26|Won|928|N/A|Unknown|82
45|164|2022-02-17|Home Network Infrastructure|354348.3|Won|218|N/A|Unknown|185
46|597|2021-11-02|Custom Wine Cellar Monitoring|27189.23|Won|766|N/A|Unknown|56
47|185|2021-09-06|Integrated Climate Control|277470.22|Won|232|N/A|Unknown|130
48|209|2023-06-27|Smart Water Management|372263.21|Won|956|N/A|Unknown|191
49|501|2022-11-24|Golf Simulator Room|61434.56|Won|1039|N/A|Unknown|16
50|239|2024-07-20|Voice Control Integration|75185.08|Won|371|N/A|Unknown|147
51|738|2022-12-31|Smart Home Integration|315962.61|Won|1053|N/A|Unknown|116
52|720|2020-11-29|Smart Water Management|245756.42|Won|228|N/A|Unknown|185
53|792|2023-10-07|Smart Home Integration|222711.75|Won|917|N/A|Unknown|28
54|222|2022-12-05|Multi-Room Audio Video|350564.13|Won|529|N/A|Unknown|191
55|512|2022-10-11|Outdoor Entertainment System|289749.56|Won|793|N/A|Unknown|188
56|562|2025-03-11|Integrated Climate Control|254810.0|Won|330|N/A|Unknown|121
57|501|2023-01-12|Golf Simulator Room|136725.92|Won|128|N/A|Unknown|110
58|42|2024-12-08|Whole Home Battery Backup|125353.5|Won|772|N/A|Unknown|198
59|463|2021-12-29|Home Network Infrastructure|40236.53|Won|498|N/A|Unknown|142
60|437|2024-09-11|Multi-Room Audio Video|36992.73|Won|275|N/A|Unknown|82
61|588|2020-12-05|Whole Home Battery Backup|129767.23|Won|144|N/A|Unknown|141
62|303|2020-12-20|Golf Simulator Room|126800.78|Won|701|N/A|Unknown|169
63|558|2024-06-24|Automated Shading Solutions|118742.64|Won|1194|N/A|Unknown|140
64|146|2024-06-10|Voice Control Integration|82167.73|Won|96|N/A|Unknown|16
65|499|2022-07-21|Automated Lighting Control|37658.4|Won|1072|N/A|Unknown|33
66|658|2021-05-28|Custom Security System|347866.77|Won|1108|N/A|Unknown|58
67|76|2023-06-23|Automated Shading Solutions|275128.37|Won|969|N/A|Unknown|21
68|420|2022-08-27|Whole-Home Automation|155994.46|Won|518|N/A|Unknown|125
69|231|2024-05-06|Integrated Climate Control|48020.83|Won|1185|N/A|Unknown|61
70|416|2021-10-19|Smart Home Integration|171990.89|Won|1147|N/A|Unknown|139
71|695|2021-11-13|Smart Home Integration|234556.48|Won|1137|N/A|Unknown|109
72|269|2021-08-16|Whole-Home Automation|138517.24|Won|861|N/A|Unknown|179
73|582|2023-06-18|Golf Simulator Room|325724.93|Won|1158|N/A|Unknown|61
74|303|2022-04-17|Outdoor Entertainment System|39831.29|Won|547|N/A|Unknown|151
75|245|2022-05-26|Outdoor Entertainment System|98982.97|Won|306|N/A|Unknown|82
76|559|2025-02-20|Custom Wine Cellar Monitoring|163153.22|Won|1064|N/A|Unknown|79
77|411|2022-09-07|Custom Wine Cellar Monitoring|293551.37|Won|1043|N/A|Unknown|149
78|756|2021-09-07|Home Network Infrastructure|217806.12|Won|501|N/A|Unknown|188
79|446|2022-07-23|Custom Wine Cellar Monitoring|369270.53|Won|852|N/A|Unknown|77
80|300|2023-02-28|Automated Shading Solutions|205357.58|Won|918|N/A|Unknown|142
81|561|2021-06-16|Whole-Home Automation|26357.76|Won|986|N/A|Unknown|75
82|637|2021-12-08|Automated Lighting Control|141799.51|Won|520|N/A|Unknown|139
83|233|2022-07-04|Custom Security System|374629.89|Won|342|N/A|Unknown|162
84|420|2022-05-14|Whole Home Battery Backup|239089.78|Won|752|N/A|Unknown|198
85|409|2021-10-22|Smart Water Management|171409.52|Won|402|N/A|Unknown|68
86|358|2021-04-14|Whole Home Battery Backup|300501.02|Won|643|N/A|Unknown|193
87|546|2022-05-26|Custom Wine Cellar Monitoring|102988.96|Won|663|N/A|Unknown|63
88|480|2022-11-25|Custom Security System|292617.04|Won|1089|N/A|Unknown|109
89|368|2021-12-17|Smart Home Integration|384215.49|Won|171|N/A|Unknown|150
90|452|2024-10-07|Whole-Home Automation|318179.85|Won|895|N/A|Unknown|112
91|113|2025-03-08|Biometric Security System|219086.43|Won|932|N/A|Unknown|58
92|140|2023-10-19|Home Network Infrastructure|342061.52|Won|750|N/A|Unknown|140
93|725|2022-06-26|Smart Home Integration|76702.05|Won|1018|N/A|Unknown|191
94|697|2024-02-13|Multi-Room Audio Video|205074.74|Won|608|N/A|Unknown|21
95|249|2021-02-21|Outdoor Entertainment System|382617.89|Won|758|N/A|Unknown|169
96|700|2023-11-08|Biometric Security System|156526.1|Won|418|N/A|Unknown|112
97|500|2021-02-12|Multi-Room Audio Video|311997.02|Won|1141|N/A|Unknown|198
98|537|2024-08-17|Luxury Home Theater|243963.5|Won|1101|N/A|Unknown|198
99|93|2022-12-06|Automated Lighting Control|83809.23|Won|745|N/A|Unknown|13
100|33|2023-01-17|Whole-Home Automation|308475.54|Won|119|N/A|Unknown|58
101|741|2023-06-20|Luxury Home Theater|68094.94|Won|403|N/A|Unknown|179
102|571|2021-08-16|Custom Wine Cellar Monitoring|163102.91|Won|1059|N/A|Unknown|82
103|524|2023-11-01|Automated Shading Solutions|170842.18|Won|1193|N/A|Unknown|110
104|330|2021-07-11|Whole Home Battery Backup|91005.02|Won|891|N/A|Unknown|162
105|426|2023-04-26|Whole Home Battery Backup|45334.14|Won|492|N/A|Unknown|125
106|779|2024-06-24|Outdoor Entertainment System|338066.96|Won|562|N/A|Unknown|158
