ChangeOrderID|ProjectID|RequestDate|Type|Description|OriginalSpec|NewSpec|Amount|Status|TimelineImpactDays|ApprovedBy
1|887|2022-08-30|Additional Features|Additional Features - Unforeseen condition|Limited zones|Enhanced system|42112.15|Approved|10|3
2|591|2023-11-23|Material Substitution|Material Substitution - Unforeseen condition|Standard components|Upgraded materials|1048.91|Approved|2|61
3|523|2024-03-01|Material Substitution|Material Substitution - Technical requirement|Included materials|Upgraded materials|32149.31|Pending|0|N/A
4|197|2021-10-07|Add Equipment|Add Equipment - Unforeseen condition|Included materials|Extended coverage|1555.68|Approved|0|133
5|1159|2024-10-18|Upgrade Components|Upgrade Components - Unforeseen condition|Included materials|Premium components|8590.31|Approved|10|142
6|199|2024-01-21|Upgrade Components|Upgrade Components - Unforeseen condition|Basic system|Enhanced system|1624.04|Rejected|0|N/A
7|50|2022-06-11|Upgrade Components|Upgrade Components - Client request|Standard components|Upgraded materials|7890.45|Approved|10|56
8|570|2025-01-21|Upgrade Components|Upgrade Components - Unforeseen condition|Included materials|Premium components|35996.91|Approved|16|147
9|699|2024-09-22|Design Change|Design Change - Client request|Included materials|Premium components|31083.46|Approved|15|21
10|746|2021-09-17|Additional Programming|Additional Programming - Unforeseen condition|Standard components|Extended coverage|25113.76|Approved|1|57
11|982|2025-01-29|Upgrade Components|Upgrade Components - Technical requirement|Standard components|Enhanced system|29719.38|Approved|12|21
12|928|2024-11-01|Add Equipment|Add Equipment - Client request|Included materials|Premium components|21357.45|Pending|0|N/A
13|794|2022-10-12|Design Change|Design Change - Technical requirement|Included materials|Upgraded materials|13742.27|Approved|0|124
14|667|2022-01-02|Upgrade Components|Upgrade Components - Client request|Standard components|Upgraded materials|9799.26|Approved|9|185
15|531|2023-03-07|Additional Features|Additional Features - Technical requirement|Included materials|Extended coverage|6356.65|Approved|13|185
16|133|2024-11-15|Material Substitution|Material Substitution - Unforeseen condition|Limited zones|Enhanced system|2010.3|Rejected|0|N/A
17|78|2025-02-17|Upgrade Components|Upgrade Components - Unforeseen condition|Limited zones|Extended coverage|21974.95|Approved|2|54
18|121|2023-02-17|Material Substitution|Material Substitution - Client request|Basic system|Enhanced system|9202.17|Approved|4|116
19|420|2022-11-04|Upgrade Components|Upgrade Components - Unforeseen condition|Limited zones|Upgraded materials|11588.95|Approved|1|141
20|602|2023-03-18|Material Substitution|Material Substitution - Unforeseen condition|Limited zones|Enhanced system|38727.43|Rejected|0|N/A
21|278|2023-10-03|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Basic system|Enhanced system|20661.21|Approved|12|133
22|582|2024-11-17|Material Substitution|Material Substitution - Client request|Included materials|Enhanced system|12535.95|Pending|0|N/A
23|934|2023-10-30|Material Substitution|Material Substitution - Designer specification|Standard components|Premium components|24649.77|Approved|12|185
24|671|2024-04-16|Add Zone Coverage|Add Zone Coverage - Technical requirement|Basic system|Upgraded materials|18168.76|Approved|5|189
25|1111|2025-01-14|Add Equipment|Add Equipment - Client request|Limited zones|Extended coverage|3665.94|Approved|15|140
26|95|2022-05-02|Additional Programming|Additional Programming - Unforeseen condition|Included materials|Upgraded materials|15233.04|Approved|0|116
27|262|2021-03-19|Additional Features|Additional Features - Unforeseen condition|Limited zones|Premium components|31558.51|Approved|8|190
28|511|2023-11-27|Add Zone Coverage|Add Zone Coverage - Designer specification|Basic system|Enhanced system|15851.82|Approved|8|21
