ExpenseID|Category|Amount|Date|RelatedProjectID|Description|ApprovedBy|PaymentMethod|ExpenseStatus
1|Vehicle Maintenance|5989.79|2024-01-20|None|Vehicle Maintenance expense (Overhead)|133|Corporate Card|Paid
2|Programming Services|59849.42|2021-12-23|999|Programming Services expense for Project #999|185|Corporate Card|Paid
3|Travel & Lodging (Project Specific)|65530.86|2025-04-07|1042|Travel & Lodging (Project Specific) expense for Project #1042|109|ACH|Paid
4|Travel & Lodging (Project Specific)|78017.48|2022-02-26|737|Travel & Lodging (Project Specific) expense for Project #737|172|Check|Paid
5|Premium Materials|94403.65|2023-01-14|791|Premium Materials expense for Project #791|172|Check|Paid
6|Design Services|8624.11|2024-06-07|322|Design Services expense for Project #322|69|ACH|Paid
7|Specialized Equipment Rental|125498.09|2021-11-05|919|Specialized Equipment Rental expense for Project #919|3|Wire Transfer|Paid
8|Travel & Lodging (Project Specific)|74082.55|2024-02-09|554|Travel & Lodging (Project Specific) expense for Project #554|196|Wire Transfer|Paid
9|Custom Fabrication|41275.09|2022-02-21|226|Custom Fabrication expense for Project #226|169|Wire Transfer|Paid
10|High-End Test Equipment|7146.74|2023-12-16|None|High-End Test Equipment expense (Overhead)|189|Wire Transfer|Paid
11|Programming Services|105706.91|2022-11-27|343|Programming Services expense for Project #343|140|ACH|Paid
12|Subcontractor Fees|9569.11|2024-03-13|543|Subcontractor Fees expense for Project #543|106|Check|Paid
13|Design Services|62698.53|2023-01-14|799|Design Services expense for Project #799|116|Corporate Card|Paid
14|Programming Services|85006.1|2024-04-06|1|Programming Services expense for Project #1|124|Corporate Card|Paid
15|Programming Services|31310.18|2024-03-23|683|Programming Services expense for Project #683|125|ACH|Paid
16|Utilities|10038.36|2020-03-06|None|Utilities expense (Overhead)|133|ACH|Paid
17|Trade Show Exhibitions|2851.64|2022-09-29|None|Trade Show Exhibitions expense (Overhead)|109|Corporate Card|Paid
18|Vehicle Maintenance|4109.73|2022-12-26|None|Vehicle Maintenance expense (Overhead)|133|ACH|Paid
19|Premium Materials|90968.96|2025-03-21|15|Premium Materials expense for Project #15|147|Corporate Card|Unpaid
20|Marketing & Branding|8019.75|2021-05-11|None|Marketing & Branding expense (Overhead)|147|Check|Paid
21|Travel & Lodging (Project Specific)|105495.22|2024-04-03|137|Travel & Lodging (Project Specific) expense for Project #137|75|Corporate Card|Paid
22|Subcontractor Fees|61786.98|2021-04-11|23|Subcontractor Fees expense for Project #23|164|Wire Transfer|Paid
23|Client Entertainment|8476.58|2024-07-12|None|Client Entertainment expense (Overhead)|Pending|ACH|Paid
24|Fuel|8797.62|2022-03-25|None|Fuel expense (Overhead)|75|Check|Paid
25|Utilities|10906.34|2023-11-19|None|Utilities expense (Overhead)|56|Wire Transfer|Paid
26|Travel & Lodging (Project Specific)|135242.58|2021-07-02|1196|Travel & Lodging (Project Specific) expense for Project #1196|61|Corporate Card|Paid
27|Design Software Licenses|5587.3|2023-05-23|None|Design Software Licenses expense (Overhead)|116|ACH|Paid
28|Programming Services|62471.93|2024-01-03|639|Programming Services expense for Project #639|196|ACH|Paid
29|Subcontractor Fees|39710.46|2023-02-10|420|Subcontractor Fees expense for Project #420|164|ACH|Paid
30|Travel & Lodging (Project Specific)|53493.99|2022-06-01|177|Travel & Lodging (Project Specific) expense for Project #177|140|Check|Paid
31|Programming Services|22906.54|2023-12-25|1130|Programming Services expense for Project #1130|172|Check|Paid
32|Design Software Licenses|2317.23|2023-05-26|None|Design Software Licenses expense (Overhead)|147|Corporate Card|Paid
33|Fuel|10274.48|2023-08-22|None|Fuel expense (Overhead)|172|Wire Transfer|Paid
34|Travel & Lodging (Project Specific)|82604.2|2021-04-26|848|Travel & Lodging (Project Specific) expense for Project #848|185|ACH|Paid
35|Programming Services|69578.93|2024-09-02|850|Programming Services expense for Project #850|Pending|Wire Transfer|Paid
36|Subcontractor Fees|34868.99|2022-03-08|1106|Subcontractor Fees expense for Project #1106|172|Corporate Card|Paid
37|Specialized Equipment Rental|127682.22|2023-12-30|76|Specialized Equipment Rental expense for Project #76|189|Corporate Card|Paid
38|Premium Materials|7191.87|2024-11-27|543|Premium Materials expense for Project #543|142|ACH|Paid
39|Design Services|166153.94|2021-08-22|1156|Design Services expense for Project #1156|142|Wire Transfer|Paid
40|Premium Materials|68799.25|2023-07-16|46|Premium Materials expense for Project #46|9|Check|Paid
41|Programming Services|82217.99|2022-07-03|198|Programming Services expense for Project #198|55|ACH|Paid
42|Subcontractor Fees|42586.46|2024-09-02|27|Subcontractor Fees expense for Project #27|169|Check|Paid
43|Permits and Inspections|130837.71|2025-01-31|812|Permits and Inspections expense for Project #812|164|ACH|Paid
44|Travel & Lodging (Project Specific)|117461.65|2025-02-18|828|Travel & Lodging (Project Specific) expense for Project #828|133|ACH|Paid
45|Permits and Inspections|137682.02|2024-10-31|1133|Permits and Inspections expense for Project #1133|106|Corporate Card|Paid
46|Specialized Equipment Rental|85653.05|2022-05-21|629|Specialized Equipment Rental expense for Project #629|133|Check|Paid
47|Premium Materials|73543.8|2023-04-30|952|Premium Materials expense for Project #952|125|Wire Transfer|Paid
48|Design Services|162497.74|2022-08-10|896|Design Services expense for Project #896|125|Corporate Card|Paid
49|Specialized Equipment Rental|102753.17|2024-03-22|514|Specialized Equipment Rental expense for Project #514|75|Corporate Card|Paid
50|Custom Fabrication|173002.81|2023-09-13|208|Custom Fabrication expense for Project #208|75|Corporate Card|Paid
51|Subcontractor Fees|108131.18|2021-10-03|649|Subcontractor Fees expense for Project #649|141|ACH|Paid
52|Travel & Lodging (Project Specific)|69087.91|2023-04-19|46|Travel & Lodging (Project Specific) expense for Project #46|185|Check|Paid
53|Luxury Office Lease|4385.48|2020-07-17|None|Luxury Office Lease expense (Overhead)|133|Wire Transfer|Paid
54|Permits and Inspections|35800.61|2024-06-30|384|Permits and Inspections expense for Project #384|147|ACH|Paid
55|Permits and Inspections|79964.75|2023-04-12|1100|Permits and Inspections expense for Project #1100|16|Check|Paid
56|Programming Services|132674.38|2024-05-07|326|Programming Services expense for Project #326|147|Corporate Card|Paid
57|Trade Show Exhibitions|2951.99|2023-12-04|None|Trade Show Exhibitions expense (Overhead)|124|ACH|Paid
58|Custom Fabrication|111072.65|2024-01-28|620|Custom Fabrication expense for Project #620|172|Check|Paid
59|Subcontractor Fees|12350.17|2024-12-11|673|Subcontractor Fees expense for Project #673|58|Check|Paid
60|Subcontractor Fees|85650.76|2025-02-03|731|Subcontractor Fees expense for Project #731|141|ACH|Paid
61|Design Services|110621.78|2022-10-16|1150|Design Services expense for Project #1150|164|Check|Paid
62|Custom Fabrication|63163.94|2023-03-16|600|Custom Fabrication expense for Project #600|189|ACH|Paid
63|Premium Vehicle Fleet|8803.15|2022-05-17|None|Premium Vehicle Fleet expense (Overhead)|140|ACH|Paid
64|Travel & Lodging (Project Specific)|12330.58|2024-10-19|316|Travel & Lodging (Project Specific) expense for Project #316|185|ACH|Paid
65|Programming Services|128670.25|2023-12-18|695|Programming Services expense for Project #695|Pending|Check|Paid
66|Specialized Equipment Rental|85584.97|2024-05-05|317|Specialized Equipment Rental expense for Project #317|125|ACH|Paid
67|Subcontractor Fees|13032.21|2025-03-03|162|Subcontractor Fees expense for Project #162|147|Wire Transfer|Unpaid
68|High-End Test Equipment|10382.92|2024-03-19|None|High-End Test Equipment expense (Overhead)|9|ACH|Paid
69|Premium Materials|115320.79|2022-08-18|189|Premium Materials expense for Project #189|109|Corporate Card|Paid
70|Luxury Office Lease|1737.09|2023-02-11|None|Luxury Office Lease expense (Overhead)|58|Wire Transfer|Paid
71|Premium Materials|121019.83|2024-07-04|981|Premium Materials expense for Project #981|3|Corporate Card|Paid
72|Programming Services|139732.48|2021-05-14|732|Programming Services expense for Project #732|141|ACH|Paid
73|Specialized Equipment Rental|93009.38|2022-07-17|613|Specialized Equipment Rental expense for Project #613|16|Check|Paid
74|Subcontractor Fees|57233.19|2022-02-24|497|Subcontractor Fees expense for Project #497|190|ACH|Paid
75|Travel & Lodging (Project Specific)|126320.97|2022-05-19|1140|Travel & Lodging (Project Specific) expense for Project #1140|133|Check|Paid
76|Permits and Inspections|25506.07|2024-09-18|371|Permits and Inspections expense for Project #371|131|ACH|Paid
77|Permits and Inspections|21163.53|2025-03-21|576|Permits and Inspections expense for Project #576|58|Corporate Card|Unpaid
78|Design Services|11694.1|2024-02-05|83|Design Services expense for Project #83|164|Check|Paid
79|Programming Services|67917.41|2022-08-02|1038|Programming Services expense for Project #1038|69|Corporate Card|Paid
80|Custom Fabrication|20560.11|2023-06-22|466|Custom Fabrication expense for Project #466|142|Check|Paid
81|Permits and Inspections|65440.38|2025-02-21|38|Permits and Inspections expense for Project #38|3|Check|Unpaid
82|Luxury Office Lease|9333.6|2024-06-10|None|Luxury Office Lease expense (Overhead)|141|Corporate Card|Paid
83|Design Software Licenses|1320.6|2023-09-08|None|Design Software Licenses expense (Overhead)|142|ACH|Paid
84|Programming Services|70881.06|2025-03-22|658|Programming Services expense for Project #658|147|Wire Transfer|Unpaid
85|Permits and Inspections|148788.45|2025-03-22|34|Permits and Inspections expense for Project #34|106|Corporate Card|Unpaid
86|Design Services|45871.33|2023-12-14|1065|Design Services expense for Project #1065|57|ACH|Paid
87|Permits and Inspections|120442.02|2024-09-25|1142|Permits and Inspections expense for Project #1142|Pending|Wire Transfer|Paid
88|Programming Services|38404.42|2022-05-19|274|Programming Services expense for Project #274|147|Corporate Card|Paid
89|Fuel|4189.67|2024-09-12|None|Fuel expense (Overhead)|55|Check|Paid
90|Permits and Inspections|153499.11|2023-10-02|239|Permits and Inspections expense for Project #239|109|ACH|Paid
91|Client Entertainment|7081.46|2022-06-29|None|Client Entertainment expense (Overhead)|16|Corporate Card|Paid
92|Premium Vehicle Fleet|6361.88|2023-11-16|None|Premium Vehicle Fleet expense (Overhead)|141|Check|Paid
93|Programming Services|13450.4|2023-01-14|766|Programming Services expense for Project #766|61|Check|Paid
94|Permits and Inspections|10504.25|2024-07-12|569|Permits and Inspections expense for Project #569|Pending|Wire Transfer|Paid
95|Custom Fabrication|11318.78|2023-04-27|247|Custom Fabrication expense for Project #247|141|Wire Transfer|Paid
96|Permits and Inspections|17768.92|2024-02-22|683|Permits and Inspections expense for Project #683|75|ACH|Paid
97|Design Software Licenses|7268.96|2024-09-26|None|Design Software Licenses expense (Overhead)|Pending|Corporate Card|Paid
98|High-End Test Equipment|3784.34|2022-10-05|None|High-End Test Equipment expense (Overhead)|56|Wire Transfer|Paid
99|Premium Materials|67869.71|2025-03-25|911|Premium Materials expense for Project #911|124|Check|Paid
100|Permits and Inspections|93323.07|2022-10-16|794|Permits and Inspections expense for Project #794|131|ACH|Paid
101|Premium Materials|47064.18|2022-01-19|975|Premium Materials expense for Project #975|141|Check|Paid
102|Travel & Lodging (Project Specific)|31254.58|2022-09-05|1017|Travel & Lodging (Project Specific) expense for Project #1017|58|Corporate Card|Paid
103|Premium Materials|47894.28|2023-10-28|187|Premium Materials expense for Project #187|21|Corporate Card|Paid
104|Premium Materials|12640.59|2022-11-03|898|Premium Materials expense for Project #898|141|Wire Transfer|Paid
105|Custom Fabrication|154228.56|2024-10-11|1142|Custom Fabrication expense for Project #1142|55|Wire Transfer|Paid
106|Premium Insurance|8979.39|2022-12-05|None|Premium Insurance expense (Overhead)|57|Check|Paid
107|Premium Vehicle Fleet|10141.03|2022-06-21|None|Premium Vehicle Fleet expense (Overhead)|58|Wire Transfer|Paid
108|Travel & Lodging (Project Specific)|76872.72|2024-07-12|936|Travel & Lodging (Project Specific) expense for Project #936|142|ACH|Paid
109|Programming Services|68345.54|2025-03-07|512|Programming Services expense for Project #512|190|Check|Paid
110|Luxury Office Lease|6208.74|2024-11-02|None|Luxury Office Lease expense (Overhead)|164|Corporate Card|Paid
111|Specialized Equipment Rental|84176.74|2022-08-15|1080|Specialized Equipment Rental expense for Project #1080|57|Check|Paid
112|Fuel|4672.52|2021-12-27|None|Fuel expense (Overhead)|142|Wire Transfer|Paid
113|Premium Materials|57752.91|2022-03-30|667|Premium Materials expense for Project #667|57|Check|Paid
114|Client Entertainment|4412.58|2024-12-03|None|Client Entertainment expense (Overhead)|56|ACH|Paid
115|Subcontractor Fees|110514.49|2024-03-19|917|Subcontractor Fees expense for Project #917|56|Corporate Card|Paid
116|Custom Fabrication|63372.85|2025-04-04|1145|Custom Fabrication expense for Project #1145|55|Wire Transfer|Paid
117|Design Software Licenses|9601.65|2021-01-17|None|Design Software Licenses expense (Overhead)|196|Wire Transfer|Paid
118|Specialized Equipment Rental|170902.57|2023-02-27|529|Specialized Equipment Rental expense for Project #529|142|Check|Paid
119|Specialized Equipment Rental|90897.81|2025-03-31|1035|Specialized Equipment Rental expense for Project #1035|189|ACH|Unpaid
120|Subcontractor Fees|26321.62|2023-07-24|603|Subcontractor Fees expense for Project #603|141|Wire Transfer|Paid
121|Luxury Office Lease|4322.03|2022-12-09|None|Luxury Office Lease expense (Overhead)|124|Corporate Card|Paid
122|Design Services|84138.29|2024-12-13|1142|Design Services expense for Project #1142|190|Corporate Card|Paid
123|Fuel|9304.57|2022-09-24|None|Fuel expense (Overhead)|55|Check|Paid
124|Programming Services|87778.37|2025-03-09|1164|Programming Services expense for Project #1164|58|ACH|Paid
125|Specialized Equipment Rental|13095.97|2024-01-20|705|Specialized Equipment Rental expense for Project #705|164|Corporate Card|Paid
126|Programming Services|128870.75|2022-02-24|730|Programming Services expense for Project #730|16|Wire Transfer|Paid
127|Permits and Inspections|60885.35|2025-04-01|430|Permits and Inspections expense for Project #430|75|Wire Transfer|Unpaid
