InvoiceID|ProjectID|CustomerID|RelatedServiceID|InvoiceDate|DueDate|Amount|Status|PaymentDate|PaymentMethod
1|1114|524|None|2021-11-17|2021-12-02|17487.96|Paid|2021-11-25|Wire
2|110|570|None|2024-06-29|2024-07-29|82916.61|Paid|2024-07-22|ACH Transfer
3|23|470|None|2021-08-16|2021-09-15|150202.34|Paid|2021-09-22|Check
4|639|318|None|2024-03-16|2024-03-31|46547.83|Paid|2024-03-24|Wire
5|573|296|None|2024-10-26|2024-11-25|55370.13|Paid|2024-11-15|Check
6|517|637|None|2023-07-11|2023-07-26|102344.31|Paid|2023-07-24|Check
7|586|23|None|2024-10-14|2024-11-28|126096.19|Paid|2024-12-07|Check
8|689|242|None|2023-01-27|2023-03-13|232992.33|Overdue|N/A|N/A
9|203|684|None|2022-11-18|2023-01-02|368815.32|Overdue|N/A|N/A
10|948|461|None|2024-02-07|2024-02-22|229766.83|Paid|2024-02-15|Check
11|239|392|None|2023-10-21|2023-11-20|374821.84|Paid|2023-11-18|Credit Card
12|442|250|None|2021-05-30|2021-07-14|49858.83|Paid|2021-07-02|Wire
13|743|309|None|2022-10-16|2022-10-31|244566.9|Paid|2022-11-07|Wire
14|537|105|None|2025-01-03|2025-02-02|304075.06|Paid|2025-01-28|Check
15|555|368|None|2025-05-09|2025-06-08|51109.5|Upcoming|N/A|N/A
16|76|313|None|2024-07-24|2024-08-08|468324.2|Paid|2024-08-22|Credit Card
17|903|695|None|2023-12-10|2024-01-09|102773.86|Paid|2023-12-11|Credit Card
18|842|139|None|2022-03-09|2022-04-08|24236.79|Paid|2022-03-11|Check
19|940|474|None|2023-06-15|2023-06-30|136874.79|Paid|2023-07-06|Credit Card
20|746|682|None|2021-12-17|2022-01-16|134515.34|Overdue|N/A|N/A
21|111|254|None|2022-10-07|2022-10-22|82653.03|Paid|2022-10-25|Wire
22|921|678|None|2023-05-14|2023-06-28|80092.29|Paid|2023-06-29|ACH Transfer
23|278|776|None|2023-12-23|2024-01-22|100394.43|Paid|2024-02-05|Credit Card
24|1004|390|None|2021-10-21|2021-12-05|280248.88|Paid|2021-11-07|ACH Transfer
25|465|671|None|2023-04-23|2023-06-07|174900.17|Overdue|N/A|N/A
26|28|186|None|2022-02-10|2022-03-27|5001.98|Paid|2022-04-02|Credit Card
27|223|254|None|2025-05-09|2025-06-08|45765.68|Upcoming|N/A|N/A
28|489|486|None|2022-07-05|2022-08-04|72866.06|Overdue|N/A|N/A
29|876|539|None|2024-02-12|2024-03-28|14941.36|Paid|2024-02-25|Check
30|184|404|None|2024-02-12|2024-02-27|72836.21|Overdue|N/A|N/A
31|96|146|None|2024-09-12|2024-10-12|37017.11|Overdue|N/A|N/A
32|1114|524|None|2021-11-29|2021-12-14|15020.72|Paid|2021-12-17|Credit Card
33|754|550|None|2021-07-03|2021-08-02|15534.8|Paid|2021-08-14|ACH Transfer
34|922|55|None|2022-07-09|2022-07-24|28761.07|Paid|2022-07-21|ACH Transfer
35|802|154|None|2022-12-25|2023-01-24|26911.58|Paid|2023-01-13|ACH Transfer
36|759|454|None|2022-07-25|2022-09-08|173388.69|Overdue|N/A|N/A
37|1027|227|None|2023-02-26|2023-03-28|193588.23|Paid|2023-04-06|Check
38|601|89|None|2022-10-01|2022-10-16|14240.72|Paid|2022-10-11|ACH Transfer
39|111|254|None|2022-10-07|2022-11-06|73601.82|Paid|2022-10-26|ACH Transfer
40|7|360|None|2025-02-06|2025-03-23|39133.05|Overdue|N/A|N/A
41|760|449|None|2025-05-09|2025-06-23|198405.0|Upcoming|N/A|N/A
42|681|683|None|2022-12-13|2023-01-12|322787.59|Paid|2022-12-16|Check
43|208|52|None|2023-10-15|2023-11-14|177529.02|Overdue|N/A|N/A
44|164|351|None|2021-07-10|2021-08-24|364913.31|Paid|2021-07-31|ACH Transfer
45|595|514|None|2022-04-12|2022-05-12|72407.42|Paid|2022-05-27|Credit Card
46|600|419|None|2023-06-28|2023-07-28|130922.8|Overdue|N/A|N/A
47|841|658|None|2023-09-03|2023-09-18|26919.69|Paid|2023-09-19|Wire
48|748|254|None|2022-06-23|2022-07-08|230869.38|Overdue|N/A|N/A
49|668|484|None|2023-07-23|2023-08-22|339434.91|Paid|2023-07-31|Check
50|1171|397|None|2021-10-23|2021-12-07|108469.44|Paid|2021-12-12|Check
51|82|380|None|2021-07-14|2021-08-13|124752.41|Paid|2021-07-29|ACH Transfer
52|638|706|None|2024-10-02|2024-11-01|498495.74|Overdue|N/A|N/A
53|197|16|None|2022-02-06|2022-03-08|46040.73|Paid|2022-02-25|ACH Transfer
54|693|44|None|2025-03-27|2025-04-11|338150.47|Paid|2025-04-07|ACH Transfer
55|891|330|None|2021-12-31|2022-01-15|51160.18|Paid|2022-01-27|ACH Transfer
56|27|9|None|2024-09-02|2024-09-17|21943.48|Overdue|N/A|N/A
57|1070|189|None|2023-06-20|2023-07-05|72096.34|Paid|2023-07-04|ACH Transfer
58|1077|614|None|2021-07-31|2021-08-15|121185.81|Paid|2021-08-09|Check
59|959|110|None|2024-07-01|2024-07-16|184139.93|Overdue|N/A|N/A
60|743|309|None|2022-10-23|2022-11-22|131140.13|Overdue|N/A|N/A
61|476|147|None|2024-08-31|2024-09-30|196755.93|Paid|2024-09-11|ACH Transfer
62|730|272|None|2022-06-16|2022-07-16|81263.37|Paid|2022-07-26|ACH Transfer
63|1161|723|None|2024-07-28|2024-09-11|16783.88|Paid|2024-07-31|Check
