TimelineEntryID|ProjectID|Milestone|EstimatedDate|ActualDate|Status|Notes
1|1|Design Approval|2024-03-29|2024-04-11|Completed|Delayed - Materials
2|1|Materials Ordered|2024-04-12|2024-04-11|Completed|
3|1|Rough-In Start|2024-04-19|2024-05-03|Completed|Delayed - Inspections
4|1|Rough-In Complete|2024-05-10|2024-05-10|Completed|
5|1|Trim-Out Start|2024-05-16|2024-05-15|Completed|
6|1|Trim-Out Complete|2024-06-07|2024-06-16|Completed|Delayed - Inspections
7|1|Programming Start|2024-06-15|2024-06-26|Completed|Delayed - Materials
8|1|Programming Complete|2024-06-28|2024-06-30|Completed|
9|1|Final Walkthrough|2024-07-12|2024-07-17|Completed|
10|2|Design Approval|2025-04-28|2025-04-23|Completed|
11|2|Materials Ordered|2025-05-22|2025-05-25|Completed|
12|2|Rough-In Start|2025-06-02|2025-06-15|Completed|Delayed - Client Request
13|2|Rough-In Complete|2025-06-27|2025-07-05|Completed|Delayed - Client Request
14|2|Trim-Out Start|2025-07-14|2025-07-28|Completed|Delayed - Client Request
15|2|Trim-Out Complete|2025-08-02|2025-07-31|Completed|
16|2|Programming Start|2025-08-21|2025-08-16|Completed|
17|2|Programming Complete|2025-09-14|2025-09-25|Completed|Delayed - Materials
18|2|Final Walkthrough|2025-10-05|2025-10-11|Completed|Delayed - Inspections
19|3|Design Approval|2024-05-24|TBD|Pending|
20|3|Materials Ordered|2024-05-28|TBD|Pending|
21|3|Rough-In Start|2024-06-04|TBD|Pending|
22|3|Rough-In Complete|2024-06-06|TBD|Pending|
23|3|Trim-Out Start|2024-06-18|TBD|Pending|
24|3|Trim-Out Complete|2024-06-19|TBD|Pending|
25|3|Programming Start|2024-06-26|TBD|Pending|
26|3|Programming Complete|2024-07-04|TBD|Pending|
27|3|Final Walkthrough|2024-07-10|TBD|Pending|
28|4|Design Approval|2023-09-24|2023-09-28|Completed|Ahead of schedule
29|4|Materials Ordered|2023-10-17|2023-10-25|Completed|Ahead of schedule
30|4|Rough-In Start|2023-11-08|2023-11-12|Completed|Slight delay - Materials
31|4|Rough-In Complete|2023-11-23|2023-11-21|Completed|
32|4|Trim-Out Start|2023-12-17|2023-12-18|Completed|
33|4|Trim-Out Complete|2024-01-01|2024-01-01|Completed|
34|4|Programming Start|2024-01-25|2024-01-20|Completed|
35|4|Programming Complete|2024-02-12|2024-02-07|Completed|
36|4|Final Walkthrough|2024-03-06|2024-03-12|Completed|Ahead of schedule
37|5|Design Approval|2021-04-18|2021-04-28|Completed|Slight delay - Materials
38|5|Materials Ordered|2021-05-05|2021-05-06|Completed|
39|5|Rough-In Start|2021-05-24|2021-06-01|Completed|Ahead of schedule
40|5|Rough-In Complete|2021-06-12|2021-06-22|Completed|Ahead of schedule
41|5|Trim-Out Start|2021-07-04|2021-07-03|Completed|
42|5|Trim-Out Complete|2021-07-22|2021-07-27|Completed|Slight delay - Materials
43|5|Programming Start|2021-07-30|2021-07-30|Completed|
44|5|Programming Complete|2021-08-26|2021-08-21|Completed|
45|5|Final Walkthrough|2021-09-13|2021-09-08|Completed|
46|6|Design Approval|2022-04-12|2022-04-12|Completed|
47|6|Materials Ordered|2022-04-24|2022-04-24|Completed|
48|6|Rough-In Start|2022-04-30|2022-05-11|Completed|Delayed - Client Request
49|6|Rough-In Complete|2022-05-16|2022-05-14|Completed|
50|6|Trim-Out Start|2022-06-03|2022-06-01|Completed|
51|6|Trim-Out Complete|2022-06-07|2022-06-10|Completed|
52|6|Programming Start|2022-06-23|2022-07-01|Completed|Delayed - Client Request
53|6|Programming Complete|2022-07-06|2022-07-13|Completed|Delayed - Inspections
54|6|Final Walkthrough|2022-07-17|2022-07-13|Completed|
55|7|Design Approval|2024-09-16|2024-09-27|Completed|Delayed - Inspections
56|7|Materials Ordered|2024-10-01|2024-09-29|Completed|
57|7|Rough-In Start|2024-10-19|2024-10-25|Completed|Delayed - Materials
58|7|Rough-In Complete|2024-11-11|2024-11-19|Completed|Delayed - Client Request
59|7|Trim-Out Start|2024-11-26|2024-11-21|Completed|
60|7|Trim-Out Complete|2024-12-09|2024-12-19|Completed|Delayed - Client Request
61|7|Programming Start|2025-01-02|2025-01-09|Completed|Delayed - Client Request
62|7|Programming Complete|2025-01-22|2025-02-03|Completed|Delayed - Inspections
63|7|Final Walkthrough|2025-02-10|2025-02-06|Completed|
64|8|Design Approval|2024-08-16|2024-08-11|Completed|
65|8|Materials Ordered|2024-08-17|2024-08-26|Completed|Delayed - Client Request
66|8|Rough-In Start|2024-08-25|2024-08-27|Completed|
67|8|Rough-In Complete|2024-08-26|2024-09-01|Completed|
68|8|Trim-Out Start|2024-09-02|2024-09-01|Completed|
69|8|Trim-Out Complete|2024-09-07|2024-09-05|Completed|
70|8|Programming Start|2024-09-15|2024-09-08|Completed|
71|8|Programming Complete|2024-09-20|2024-09-19|Completed|
72|8|Final Walkthrough|2024-09-21|2024-09-22|Completed|
73|9|Design Approval|2025-03-18|2025-03-20|Completed|
74|9|Materials Ordered|2025-04-01|2025-03-28|Completed|
75|9|Rough-In Start|2025-04-17|TBD|Pending|
76|9|Rough-In Complete|2025-05-06|TBD|Pending|
77|9|Trim-Out Start|2025-05-22|TBD|Pending|
78|9|Trim-Out Complete|2025-06-04|TBD|Pending|
79|9|Programming Start|2025-06-26|TBD|Pending|
80|9|Programming Complete|2025-07-11|TBD|Pending|
81|9|Final Walkthrough|2025-07-28|TBD|Pending|
82|10|Design Approval|2024-12-14|2024-12-18|Completed|
83|10|Materials Ordered|2024-12-16|2024-12-19|Completed|
