ServiceID|CustomerID|ServiceType|RelatedProjectID|TechnicianID|DateStr|StartTime|EndTime|MaterialsCost|LaborHours|LaborCost|TotalCost|BilledAmount|SatisfactionScore|Priority|Resolution|ScheduledDate|ScheduledTime|ActualArrivalTime|ResponseTime|IssueCategory|FirstTimeFixStatus
817|398|System Integration|None|163|2022-12-16|09:00|15:47|0.0|6.8|585.89|585.89|1147.76|5|Standard|Complete|2022-12-14|16:00|17:00 (Late)|N/A|Maintenance|Yes
170|379|System Upgrade|370|42|2024-10-09|14:15|14:48|992.29|0.8|49.09|1041.3799999999999|2035.03|5|Standard|Complete|2024-10-06|12:00|12:30 (Late)|N/A|Maintenance|Yes
948|210|Custom Installation|None|192|2024-08-23|13:00|14:42|873.38|1.7|116.01|989.39|1880.26|4|Standard|Complete|2024-08-22|15:00|15:15 (Late)|N/A|User Training|Yes
117|579|Design Consultation|180|62|2024-06-14|14:00|18:42|0.0|4.7|344.32|344.32|575.53|3|Standard|Complete|2024-06-11|14:00|14:00 (Late)|N/A|Network|Yes
1364|445|Remote Support|None|128|2022-02-24|10:45|15:42|0.0|5.7|346.79|346.79|581.25|5|Standard|Complete|2022-02-23|15:00|15:45 (Late)|N/A|Configuration|Yes
1792|662|Custom Installation|None|36|2022-12-21|11:15|14:12|1579.58|3.2|317.34|1896.9199999999998|2786.14|4|Standard|Complete|2022-12-18|10:00|10:00 (Late)|N/A|Configuration|Yes
1728|30|Troubleshooting|892|127|2024-10-30|08:00|14:54|472.51|6.9|561.38|1033.8899999999999|2081.78|3|Standard|Complete|2024-10-29|10:00|10:00 (Late)|N/A|Network|Yes
1241|374|Premium Maintenance|None|29|2025-01-29|11:45|14:12|86.82|3.2|420.51|507.33|965.46|3|Standard|Complete|2025-01-27|10:00|10:30 (Late)|N/A|Hardware|Yes
1015|107|Premium Maintenance|490|155|2024-02-02|13:15|20:17|0.76|7.3|717.74|718.5|1387.56|3|Standard|Complete|2024-01-31|13:00|13:15 (Late)|N/A|Maintenance|Yes
79|603|System Upgrade|None|50|2024-03-25|11:45|12:30|1580.62|1.5|193.94|1774.56|3684.51|3|Standard|Complete|2024-03-22|09:00|09:15 (Late)|N/A|Hardware|Yes
1282|170|System Integration|None|74|2023-10-03|14:00|16:23|0.0|2.4|131.26|131.26|275.14|3|Standard|Complete|2023-10-01|13:00|13:00 (Late)|N/A|User Training|Yes
899|44|Troubleshooting|693|144|2025-02-26|11:45|11:42|1301.57|0.7|78.16|1379.73|1947.92|5|Standard|Complete|2025-02-23|14:00|14:15 (Late)|N/A|Integration|No
688|174|System Integration|379|111|2024-12-27|14:15|14:54|0.0|0.9|60.98|60.98|133.21|5|Standard|Complete|2024-12-24|11:00|12:15 (Late)|N/A|Configuration|Yes
1461|419|System Upgrade|717|96|2022-02-20|11:45|11:36|396.92|0.6|33.83|430.75|929.31|5|Standard|Followup Required|2022-02-19|09:00|09:15 (Late)|N/A|Software|Yes
112|232|Premium Maintenance|1029|23|2024-09-14|12:15|13:11|69.94|1.2|77.17|147.11|262.68|5|Standard|Complete|2024-09-12|08:00|08:00 (Late)|N/A|Hardware|No
1534|777|Troubleshooting|506|25|2025-04-08|16:45|18:00|1243.46|2.0|142.3|1385.76|2953.24|N/A|Standard|Complete|2025-04-08|13:00|13:15|1|Integration|Yes
1967|336|Design Consultation|272|67|2024-05-20|16:00|17:18|0.0|1.3|106.24|106.24|177.43|3|Standard|Complete|2024-05-20|08:00|09:00 (Late)|N/A|Hardware|Yes
890|9|Custom Installation|None|67|2021-12-13|15:45|16:36|1546.13|1.6|130.75|1676.88|3647.66|4|Standard|Complete|2021-12-13|12:00|12:45 (Late)|N/A|Software|Yes
528|8|Remote Support|None|101|2024-08-28|15:45|16:30|0.0|1.5|164.3|164.3|270.47|4|Standard|Complete|2024-08-27|14:00|15:00 (Late)|N/A|Integration|Yes
518|39|Remote Support|790|132|2025-02-28|16:00|18:12|0.0|2.2|169.03|169.03|335.75|3|Standard|Complete|2025-02-26|16:00|16:00 (Late)|N/A|User Training|Yes
875|744|Custom Installation|None|5|2022-06-19|12:30|13:23|58.3|1.4|81.31|139.61|225.29|5|Standard|Complete|2022-06-18|13:00|13:30 (Late)|N/A|Integration|No
1398|570|System Upgrade|None|10|2021-06-14|08:15|09:11|1251.02|1.2|96.82|1347.84|2950.94|3|Standard|Complete|2021-06-14|15:00|15:30 (Late)|N/A|Hardware|Yes
1200|86|Custom Installation|None|1|2022-11-23|12:00|12:36|1109.6|0.6|62.42|1172.02|2373.29|4|Emergency|Complete|2022-11-22|10:00|10:30 (Late)|N/A|User Training|Yes
1988|174|System Integration|379|120|2024-12-09|09:30|10:18|0.0|1.3|141.91|141.91|299.57|3|Standard|Complete|2024-12-07|16:00|17:15 (Late)|N/A|Integration|Yes
855|768|Remote Support|579|183|2025-02-26|15:45|18:42|0.0|3.7|482.81|482.81|907.05|5|Priority|Complete|2025-02-23|08:00|09:45 (Late)|N/A|Integration|Yes
18|482|Design Consultation|None|2|2021-10-31|13:00|20:54|0.0|7.9|454.17|454.17|826.05|4|Standard|Complete|2021-10-30|11:00|12:00 (Late)|N/A|Network|No
63|592|System Upgrade|None|25|2024-04-07|08:45|08:48|793.64|0.8|56.92|850.56|1342.46|5|Standard|Complete|2024-04-07|16:00|16:00|1|User Training|Yes
257|510|Troubleshooting|1093|148|2023-11-25|11:00|12:48|414.06|1.8|155.92|569.98|1133.31|5|Standard|Complete|2023-11-22|16:00|16:45 (Late)|N/A|Hardware|Yes
786|669|System Upgrade|428|183|2024-10-01|15:45|16:00|29.83|1.0|130.49|160.32|227.7|3|Standard|Complete|2024-10-01|16:00|16:45 (Late)|N/A|Integration|Yes
1421|254|System Integration|None|14|2023-07-09|15:00|18:06|0.0|3.1|392.43|392.43|573.4|5|Standard|Complete|2023-07-08|13:00|14:00 (Late)|N/A|User Training|Yes
788|489|Remote Support|None|98|2021-08-16|16:45|23:18|0.0|9.3|721.96|721.96|1075.8|3|Standard|Complete|2021-08-16|13:00|14:15 (Late)|N/A|Network|Yes
1363|713|System Upgrade|None|2|2024-02-04|10:15|14:30|1119.98|4.5|258.7|1378.68|2759.21|4|Standard|Complete|2024-02-02|12:00|13:15 (Late)|N/A|User Training|Yes
267|787|Premium Maintenance|706|194|2024-08-10|15:45|17:00|4.65|2.0|133.18|137.83|237.63|5|Standard|Complete|2024-08-07|13:00|14:45 (Late)|N/A|Configuration|Yes
1226|13|Remote Support|None|167|2021-03-15|15:00|20:42|0.0|5.7|492.94|492.94|793.98|5|Standard|Complete|2021-03-12|12:00|13:15 (Late)|N/A|Network|Yes
110|680|System Integration|None|25|2023-03-16|08:45|15:47|0.0|7.8|554.97|554.97|827.49|5|Standard|Complete|2023-03-13|09:00|10:30 (Late)|N/A|Integration|Yes
696|504|Remote Support|803|200|2024-07-07|15:00|18:42|0.0|3.7|308.62|308.62|563.48|4|Standard|Complete|2024-07-05|08:00|08:30 (Late)|N/A|Network|Yes
762|521|System Upgrade|None|32|2021-05-18|12:45|12:42|211.47|0.7|61.73|273.2|470.06|4|Standard|Complete|2021-05-18|16:00|16:30 (Late)|N/A|Network|Yes
345|269|Custom Installation|861|166|2022-01-30|10:15|19:41|660.15|9.7|738.65|1398.8|2092.06|4|Standard|Complete|2022-01-30|08:00|08:30 (Late)|N/A|User Training|Yes
