EntryID|EmployeeID|Date|ServiceCallID|ProjectID|Category|RegularHours|OvertimeHours|TotalHours|Notes
1|148|2024-04-02|None|659|Project Management Task|2.1|0|2.1|
2|80|2022-02-19|None|270|Wiring|6.1|0|6.1|Coordination meeting
3|102|2021-01-21|None|293|Installation|3.5|0|3.5|
4|5|2022-11-14|None|536|Documentation|1.0|0|1.0|
5|14|2024-08-15|None|673|Documentation|1.4|0|1.4|
6|46|2021-12-02|None|92|Testing|4.2|0|4.2|Client requested additional work
7|25|2024-03-21|None|853|Documentation|1.3|0|1.3|
8|37|2025-02-22|None|404|Testing|6.0|0|6.0|
9|34|2022-09-09|None|93|Documentation|0.7|0|0.7|
10|46|2021-10-23|None|983|Documentation|1.9|0|1.9|
11|98|2021-01-05|None|172|Testing|4.5|0|4.5|
12|53|2021-12-16|None|590|Project Management Task|1.4|0|1.4|
13|5|2021-02-25|None|307|Client Training|1.5|0|1.5|
14|60|2022-06-27|None|983|Client Training|3.5|0|3.5|
15|88|2022-11-19|None|513|Wiring|3.6|0|3.6|
16|157|2022-01-12|None|None|Sales Support|1.3|0|1.3|
17|183|2023-02-09|None|None|Internal Meeting|1.6|0|1.6|
18|173|2023-07-28|None|878|Installation|7.5|0|7.5|Client requested additional work
19|1|2024-08-07|None|662|Programming|7.5|0|7.5|
20|23|2021-09-21|None|228|Project Management Task|3.9|0|3.9|
21|60|2023-05-14|None|1100|Documentation|0.8|0|0.8|
22|49|2022-08-20|None|882|Client Training|2.4|0|2.4|
23|173|2022-02-05|None|597|Programming|7.7|0|7.7|
24|100|2023-06-02|66|54|Maintenance|1.6|0|1.6|
25|85|2022-02-08|None|402|Client Training|3.8|0|3.8|
26|60|2022-03-22|None|None|Travel|0.7|0|0.7|
27|103|2021-03-28|None|299|Testing|3.4|0|3.4|
28|60|2022-01-15|None|774|Wiring|5.2|0|5.2|Coordination meeting
29|84|2024-03-24|None|None|Sales Support|1.5|0|1.5|Completed phase ahead of schedule
30|59|2024-11-22|None|362|Project Management Task|3.9|0|3.9|
31|132|2022-02-07|None|494|Programming|6.6|0|6.6|
32|136|2024-07-02|None|None|Internal Meeting|0.5|0|0.5|
33|11|2024-04-01|None|1120|Wiring|4.8|0|4.8|
34|199|2024-12-03|None|821|Programming|4.1|0|4.1|
35|72|2021-01-29|None|618|Documentation|1.8|0|1.8|
36|107|2023-10-28|None|976|Testing|5.3|0|5.3|
37|128|2021-12-11|None|618|Project Management Task|2.1|0|2.1|
38|135|2021-03-26|None|758|Programming|6.3|0|6.3|
39|1|2025-03-09|None|1088|Project Management Task|2.1|0|2.1|
40|96|2024-07-05|None|129|Documentation|1.8|0|1.8|
41|157|2021-12-31|None|None|Admin|1.1|0|1.1|
42|160|2024-08-13|None|1026|Documentation|0.9|0|0.9|Encountered unexpected issues
43|154|2022-09-11|None|675|Documentation|0.9|0|0.9|
44|118|2025-04-05|None|39|Wiring|4.6|0|4.6|
45|85|2021-10-15|None|432|Programming|4.5|0|4.5|Coordination meeting
46|80|2023-09-07|None|614|Programming|7.0|0|7.0|
47|120|2024-10-16|None|434|Project Management Task|3.7|0|3.7|
48|136|2022-05-09|None|None|Sales Support|2.0|0|2.0|
49|136|2021-12-01|None|667|Client Training|2.3|0|2.3|
50|175|2021-05-07|None|746|Testing|4.4|0|4.4|
51|88|2021-03-17|None|48|Wiring|5.6|0|5.6|
52|26|2025-02-10|None|501|Client Training|3.3|0|3.3|
53|105|2021-09-21|251|None|System Check|1.6|0|1.6|
54|8|2022-07-27|None|93|Project Management Task|3.9|0|3.9|
55|167|2021-12-14|None|727|Client Training|1.5|0|1.5|System testing OK
56|80|2021-02-03|None|156|Testing|3.4|0|3.4|Completed phase ahead of schedule
57|17|2024-10-06|None|358|Installation|3.1|0|3.1|
58|4|2022-03-18|800|None|System Check|0.6|0|0.6|
59|165|2023-07-01|None|242|Testing|3.6|0|3.6|
60|127|2021-05-28|None|654|Installation|4.3|0|4.3|
61|174|2023-08-30|None|806|Documentation|0.8|0|0.8|
62|38|2022-11-17|None|1071|Wiring|3.9|0|3.9|
63|36|2022-06-09|None|312|Testing|3.6|0|3.6|
64|160|2022-10-29|None|1071|Documentation|1.2|0|1.2|
65|128|2022-03-18|None|961|Programming|5.5|0|5.5|Client requested additional work
66|2|2023-06-18|None|671|Testing|7.1|0|7.1|
67|105|2021-02-10|None|107|Project Management Task|2.8|0|2.8|
68|44|2022-10-13|None|389|Wiring|3.2|0|3.2|
69|89|2021-06-02|None|134|Documentation|1.6|0|1.6|
70|24|2021-02-22|None|307|Installation|3.8|0|3.8|
71|171|2024-12-19|None|236|Project Management Task|3.1|0|3.1|
72|71|2023-11-24|None|None|Shop Work|1.6|0|1.6|
73|94|2024-06-29|None|352|Testing|6.5|0|6.5|
74|50|2023-04-10|None|572|Programming|5.7|0|5.7|
75|152|2023-06-15|None|171|Installation|4.7|0|4.7|
76|65|2024-03-04|None|929|Programming|7.1|0|7.1|
77|163|2023-10-07|None|501|Project Management Task|2.2|0|2.2|
78|26|2021-01-24|None|185|Testing|7.8|0|7.8|
