TrainingID|EmployeeID|Name|Type|Provider|StartDate|CompletionDate|HoursRequired|HoursCompleted|Status|Score|Passed|CertificationRenewed
1|119|Troubleshooting Techniques - Control4|Troubleshooting Techniques|CEDIA|2023-04-01|2023-05-23|9|9|Completed|67|No|N/A
2|156|Programming Workshop - Barco|Programming Workshop|CEDIA|2022-09-26|2022-10-04|24|24|Completed|96|Yes|N/A
3|88|Product Training - Triad|Product Training|Industry Association|2023-11-19|TBD|9|4|In Progress|N/A|N/A|N/A
4|59|Programming Workshop|Programming Workshop|Manufacturer|2020-03-29|2020-04-03|37|37|Completed|70|Yes|N/A
5|33|Project Management|Project Management|Internal|2021-06-21|2021-08-10|13|13|Completed|91|Yes|N/A
6|176|Product Training|Product Training|Internal|2020-02-07|2020-03-31|22|22|Completed|94|Yes|N/A
7|56|Leadership Workshop|Leadership Workshop|Consultant|2020-01-08|TBD|17|5|Did Not Complete|N/A|No|N/A
8|165|Advanced Installation|Advanced Installation|Internal|2022-05-04|2022-06-20|38|38|Completed|77|Yes|N/A
9|43|First Aid/CPR Cert|Technical Certification|Manufacturer|2020-06-24|2020-07-13|50|50|Completed|97|Yes|Yes
10|130|Financial Acumen - Paradigm|Financial Acumen|Industry Association|2021-12-15|2021-12-23|8|8|Completed|71|Yes|N/A
11|129|Financial Acumen|Financial Acumen|Industry Association|2022-12-02|2022-12-14|21|21|Completed|73|Yes|N/A
12|190|Financial Acumen - Savant|Financial Acumen|Internal|2020-07-29|TBD|30|4|Did Not Complete|N/A|No|N/A
13|88|Product Training|Product Training|Industry Association|2021-03-06|2021-04-27|7|7|Completed|95|Yes|N/A
14|108|Sales Training|Sales Training|Online Platform|2022-05-21|TBD|4|1|In Progress|N/A|N/A|N/A
15|130|Client Communication - Sony Professional|Client Communication|Industry Association|2023-10-03|2023-11-14|4|4|Completed|86|Yes|N/A
16|10|CEDIA Certified Cert|Technical Certification|CEDIA|2021-05-16|2021-05-23|31|31|Completed|89|Yes|Yes
17|16|Financial Acumen|Financial Acumen|Industry Association|2022-08-01|2022-08-22|8|8|Completed|71|Yes|N/A
18|87|Programming Workshop|Programming Workshop|Online Platform|2020-02-01|2020-03-03|38|38|Completed|N/A|N/A|N/A
19|16|Leadership Workshop|Leadership Workshop|Manufacturer|2022-07-18|2022-08-24|31|31|Completed|N/A|N/A|N/A
20|141|Financial Acumen - Stewart Filmscreen|Financial Acumen|Industry Association|2021-12-30|2022-02-06|5|5|Completed|89|Yes|N/A
21|121|Financial Acumen|Financial Acumen|Industry Association|2024-06-24|2024-07-21|32|32|Completed|79|Yes|N/A
22|105|Safety Training|Safety Training|Manufacturer|2020-02-22|2020-03-08|20|20|Completed|88|Yes|N/A
23|60|Product Training|Product Training|CEDIA|2024-03-20|2024-05-12|37|37|Completed|68|No|N/A
24|92|Product Training|Product Training|Consultant|2021-10-30|2021-12-11|9|9|Completed|98|Yes|N/A
25|185|Financial Acumen|Financial Acumen|CEDIA|2021-08-01|2021-08-25|21|21|Completed|73|Yes|N/A
26|71|Product Training|Product Training|Internal|2020-07-03|2020-08-05|11|11|Completed|72|Yes|N/A
27|9|Financial Acumen|Financial Acumen|Consultant|2022-02-05|2022-03-12|12|12|Completed|65|No|N/A
28|167|Safety Training - Ruckus|Safety Training|Industry Association|2024-11-26|2025-01-08|11|11|Completed|N/A|N/A|N/A
29|191|Sales Training|Sales Training|Industry Association|2024-08-06|TBD|13|5|In Progress|N/A|N/A|N/A
30|32|Safety Training|Safety Training|Online Platform|2021-10-13|2021-11-25|29|29|Completed|79|Yes|N/A
31|189|Financial Acumen|Financial Acumen|CEDIA|2020-04-29|2020-05-19|36|36|Completed|74|Yes|N/A
32|145|Advanced Installation|Advanced Installation|Industry Association|2020-05-14|2020-05-22|32|32|Completed|81|Yes|N/A
33|42|Programming Workshop|Programming Workshop|Manufacturer|2022-04-27|2022-06-18|30|30|Completed|87|Yes|N/A
34|138|Advanced Installation|Advanced Installation|Industry Association|2023-10-14|TBD|17|13|In Progress|N/A|N/A|N/A
35|196|Financial Acumen|Financial Acumen|Manufacturer|2020-04-09|TBD|30|14|In Progress|N/A|N/A|N/A
36|4|Troubleshooting Techniques - Stewart Filmscreen|Troubleshooting Techniques|Industry Association|2023-06-19|2023-07-19|8|8|Completed|82|Yes|N/A
37|71|InfoComm CTS Cert|Technical Certification|Industry Association|2023-03-02|2023-03-06|79|79|Completed|77|Yes|Yes
38|111|Lutron Certified Installer Cert|Technical Certification|Consultant|2023-01-22|2023-03-14|76|76|Completed|91|Yes|Yes
39|36|Product Training|Product Training|Manufacturer|2023-03-10|2023-04-02|38|38|Completed|83|Yes|N/A
40|55|Financial Acumen|Financial Acumen|Consultant|2024-09-18|2024-09-29|17|17|Completed|94|Yes|N/A
41|13|Manufacturer Update|Manufacturer Update|CEDIA|2022-08-17|2022-09-12|18|18|Completed|96|Yes|N/A
42|76|Troubleshooting Techniques - NAD|Troubleshooting Techniques|Consultant|2020-02-14|2020-02-26|13|13|Completed|78|Yes|N/A
43|45|Product Training - Triad|Product Training|Online Platform|2025-01-22|2025-02-01|30|30|Completed|70|Yes|N/A
