ClaimID|ProjectID|CustomerID|ClaimDate|IssueType|Description|ResolutionDate|ResolutionTimeDays|CostToFix|CoveredByWarranty|CustomerCost|TechnicianID|PreventativeMeasures
3|477|674|2023-04-27|System Failure|System Failure requiring service under warranty period.|2023-05-03|6|788.67|Yes|0|161|Component Replacement
4|286|209|2024-06-08|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-06-20|12|230.89|Yes|0|88|Firmware Patch
5|516|492|2025-01-11|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2025-01-18|7|2113.58|Yes|0|26|Component Replacement
8|1179|641|2023-03-26|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2023-04-07|12|2427.37|Yes|0|178|Software Update
10|1098|772|2024-12-01|Network Problem|Network Problem requiring service under warranty period.|2024-12-16|15|0.66|Yes|0|174|None
11|861|269|2022-12-21|Configuration Issue|Configuration Issue requiring service under warranty period.|2023-01-01|11|240.68|Yes|0|1|None
12|844|76|2022-09-18|User Error|User Error requiring service under warranty period.|2022-10-03|15|389.76|Yes|0|144|Firmware Patch
14|650|690|2024-11-21|Integration Glitch|Integration Glitch requiring service under warranty period.|2024-11-27|6|122.03|Yes|0|94|None
15|343|655|2023-05-05|Network Problem|Network Problem requiring service under warranty period.|2023-05-10|5|110.79|Yes|0|87|Client Training
16|523|27|2025-01-09|User Error|User Error requiring service under warranty period.|2025-01-24|15|196.38|Yes|0|161|System Reconfiguration
17|573|296|2024-12-02|Software Bug|Software Bug requiring service under warranty period.|2024-12-13|11|154.42|Yes|0|156|None
18|353|252|2023-11-25|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2023-12-02|7|1636.44|Yes|0|50|Component Replacement
20|25|6|2025-01-13|User Error|User Error requiring service under warranty period.|2025-01-26|13|7.18|Yes|0|200|Component Replacement
21|633|14|2022-02-26|Software Bug|Software Bug requiring service under warranty period.|2022-03-12|14|400.47|Yes|0|192|Component Replacement
22|288|103|2024-04-18|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-04-23|5|2287.82|Yes|0|92|Software Update
23|744|753|2022-07-17|Configuration Issue|Configuration Issue requiring service under warranty period.|2022-07-20|3|458.05|Yes|0|27|System Reconfiguration
24|930|116|2024-07-06|User Error|User Error requiring service under warranty period.|2024-07-18|12|53.4|Yes|0|10|None
25|649|611|2023-03-26|Software Bug|Software Bug requiring service under warranty period.|2023-04-09|14|194.16|Yes|0|143|None
26|355|47|2024-12-19|System Failure|System Failure requiring service under warranty period.|2024-12-30|11|2437.75|Yes|0|92|None
27|653|769|2024-05-19|User Error|User Error requiring service under warranty period.|2024-05-31|12|460.44|Yes|0|153|System Reconfiguration
28|650|690|2023-11-27|Software Bug|Software Bug requiring service under warranty period.|2023-12-11|14|100.97|Yes|0|4|Software Update
29|799|134|2024-05-28|Software Bug|Software Bug requiring service under warranty period.|2024-05-30|2|453.45|Yes|0|48|Software Update
30|172|5|2023-11-05|Network Problem|Network Problem requiring service under warranty period.|2023-11-06|1|254.43|Yes|0|182|None
31|511|63|2024-02-21|Software Bug|Software Bug requiring service under warranty period.|2024-03-06|14|241.61|Yes|0|78|Firmware Patch
32|113|98|2024-09-22|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-09-27|5|13.7|Yes|0|199|System Reconfiguration
34|862|734|2025-03-08|Software Bug|Software Bug requiring service under warranty period.|2025-03-20|12|58.89|Yes|0|166|System Reconfiguration
35|256|756|2021-10-10|Network Problem|Network Problem requiring service under warranty period.|2021-10-25|15|190.25|Yes|0|102|None
36|1121|285|2024-10-05|System Failure|System Failure requiring service under warranty period.|2024-10-16|11|1676.53|Yes|0|132|Software Update
37|1028|255|2024-12-29|Configuration Issue|Configuration Issue requiring service under warranty period.|2025-01-05|7|210.8|No|210.8|200|Firmware Patch
38|1033|714|2024-03-29|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-04-03|5|2184.45|Yes|0|113|None
39|27|9|2024-11-03|User Error|User Error requiring service under warranty period.|2024-11-07|4|336.61|Yes|0|114|Client Training
40|407|707|2023-07-25|Software Bug|Software Bug requiring service under warranty period.|2023-08-03|9|439.79|Yes|0|26|None
41|1028|255|2022-08-28|Network Problem|Network Problem requiring service under warranty period.|2022-09-06|9|516.25|Yes|0|42|Software Update
42|175|711|2025-01-25|Integration Glitch|Integration Glitch requiring service under warranty period.|2025-02-02|8|94.36|Yes|0|173|Firmware Patch
43|406|673|2025-02-23|Configuration Issue|Configuration Issue requiring service under warranty period.|2025-03-01|6|133.22|Yes|0|159|None
44|8|766|2024-10-15|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-10-21|6|577.44|Yes|0|181|Component Replacement
45|960|512|2024-04-27|System Failure|System Failure requiring service under warranty period.|2024-05-11|14|2150.18|Yes|0|126|Software Update
46|456|584|2024-07-11|User Error|User Error requiring service under warranty period.|2024-07-21|10|456.91|Yes|0|96|Software Update
48|930|116|2024-07-01|Integration Glitch|Integration Glitch requiring service under warranty period.|2024-07-09|8|350.96|Yes|0|127|Client Training
49|67|140|2024-06-19|System Failure|System Failure requiring service under warranty period.|2024-06-30|11|1012.76|Yes|0|157|Client Training
50|288|103|2024-06-11|Network Problem|Network Problem requiring service under warranty period.|2024-06-14|3|124.68|Yes|0|43|Client Training
51|1167|36|2024-12-05|User Error|User Error requiring service under warranty period.|2024-12-15|10|419.95|Yes|0|127|Component Replacement
